field1,entry_id
2.1111112,1
2.074074,2
1.5,3
2.0714285,4
2.2777777,5
1.826087,6
2.0714285,7
2.5,8
1.3333334,9
0.6666667,10
0.6666667,11
0.6666667,12
0.6666667,13
0,14
0,15
3,16
2.6666667,17
1.5,18
2.0714285,19
2.1363637,20
2.3125,21
1.90625,22
1.5833334,23
2,24
2.9411764,25
3,26
3.090909,27
1.85,28
2.2,29
2.4285715,30
1.6666666,31
1,32
2.2,33
1.1,34
1.1,35
1.1,36
1.1,37
0,38
0,39
0,40
1.375,41
3.3333333,42
1.8888888,43
2.28,44
2,45
2.142857,46
2.1,47
2.05,48
2.25,49
2,50
2.090909,51
1.1,52
2,53
3.1,54
2.4375,55
1.75,56
2,57
0.6666667,58
2,59
0,60
2,61
2,62
2,63
2,64
2,65
2,66
4,67
2.75,68
2.6,69
2.235294,70
2.5789473,71
1.4545455,72
2.2,73
2.6,74
2.375,75
2.2941177,76
1.1818181,77
2.5882354,78
1.5,79
2.4,80
1.6666666,81
0.8333333,82
0.8333333,83
0.8333333,84
0.8333333,85
0.8333333,86
0.8333333,87
0.8333333,88
0.8333333,89
0,90
2,91
4,92
3,93
2.3333333,94
2,95
2.5,96
2.6666667,97
2.1,98
1,99
1.9166666,100
2.3333333,101
1.6666666,102
0.8,103
2.5,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
2,113
2,114
2.2777777,115
2.5,116
2.0666666,117
2.4,118
2.1818182,119
2.35,120
1.7894737,121
2,122
2.8421052,123
2.2222223,124
1,125
2.2857144,126
2,127
1,128
1.6666666,129
4,130
2.5,131
2.5,132
2.5,133
1,134
0,135
2,136
2.75,137
3.25,138
2,139
2,140
2.909091,141
2.3529413,142
2.35,143
1.9285715,144
1.9166666,145
1.6470588,146
2.1111112,147
1.6666666,148
2.25,149
2.357143,150
2.4,151
2,152
2,153
1,154
1,155
1,156
1,157
0,158
1,159
1,160
2,161
2.25,162
2.3333333,163
1.75,164
2.0588236,165
2.7368422,166
2.2631578,167
1.8888888,168
1.8421053,169
2.652174,170
1.3333334,171
1.7,172
1.2941177,173
1.3,174
2.2,175
1.8571428,176
2.3333333,177
2.1666665,178
2.1666665,179
2.1666665,180
2.1666665,181
2.1666665,182
2.1666665,183
2.1666665,184
2,185
2.25,186
2.5,187
2.2307692,188
2.6,189
2.5555556,190
2.7272727,191
3,192
2,193
3,194
1.5,195
3.75,196
0.85714287,197
2.75,198
0,199
3,200
3,201
2.5,202
2.5,203
2.5,204
2.5,205
2.5,206
2.5,207
2.5,208
2.5,209
2.5,210
2,211
2.2,212
2.5714285,213
2.4285715,214
2.75,215
2.6,216
1.8666667,217
1.2,218
2.1666667,219
2.75,220
3,221
3,222
1.6666666,223
0,224
1,225
1.5,226
1.5,227
1.5,228
1.5,229
1.5,230
1.5,231
1.5,232
1.5,233
2,234
2.3333335,235
2.6666667,236
3.3333333,237
2.8,238
2,239
1,240
2.25,241
3.625,242
1,243
2.6666667,244
2.25,245
3.2857144,246
3.642857,247
3.642857,248
4,249
2.75,250
2.75,251
2.75,252
2.75,253
2.75,254
2.75,255
2.75,256
2.75,257
2.75,258
2.75,259
2.75,260
1.5,261
1.5,262
1.9166666,263
2.3333333,264
2,265
3,266
2,267
3.3333333,268
1,269
1.5,270
1.5,271
2,272
2,273
3,274
3,275
3,276
3,277
3,278
3,279
3,280
3,281
4,282
2.3333333,283
2.0769231,284
2.625,285
2.6923077,286
2.25,287
2.3333333,288
2.4545455,289
2.2,290
2.5,291
1.4,292
1.6666666,293
3,294
3,295
2,296
1,297
2.5,298
2.5,299
2.5,300
2.5,301
2.5,302
2.5,303
2.5,304
2.5,305
4,306
2.5,307
2,308
2.3333333,309
1.9285715,310
2.2,311
2.2,312
2,313
2.1111112,314
2.4285715,315
1.6666666,316
2,317
2.25,318
4,319
3,320
2,321
2.3333335,322
2.3333335,323
2.3333335,324
2.3333335,325
2.3333335,326
2.3333335,327
2.3333335,328
2.3333335,329
2.3333335,330
2.6666667,331
3.3333333,332
2,333
2.142857,334
2.125,335
2.5,336
3.1666667,337
1.6875,338
1.6666666,339
2,340
2.25,341
1.75,342
0,343
1.5,344
1,345
1.75,346
1.75,347
1.75,348
1.75,349
1.75,350
1.75,351
1.75,352
1.75,353
2.5,354
3.5,355
0.75,356
2.7142856,357
2.4444444,358
2.6666667,359
2.5,360
1.9,361
2.5,362
1.6363636,363
1.8,364
2.8,365
1.4,366
2,367
3,368
4,369
3.5,370
3.5,371
3.5,372
3.5,373
3.5,374
3.5,375
3.5,376
3,377
0,378
2.7142856,379
2.2222223,380
2.4,381
1.8571428,382
2,383
3.2307692,384
1.4,385
3.25,386
3.5,387
1.8,388
2.5,389
2,390
1,391
0,392
2,393
1,394
1,395
1,396
1,397
1,398
1,399
1,400
1,401
0,402
1.9375,403
3,404
2.2666667,405
2.9166667,406
3.875,407
1.7391304,408
1.9285715,409
2.0588236,410
2.6666667,411
3.1111112,412
2.142857,413
2.2307692,414
2.5,415
2.8269231,416
3.1538463,417
2.0769231,418
2.0769231,419
2.0769231,420
2.0769231,421
2.0769231,422
2.0769231,423
2.0769231,424
2.0769231,425
1,426
3.3333333,427
1.75,428
2.7272727,429
2.25,430
2.4210527,431
1.5555556,432
2.357143,433
1.8333334,434
1.375,435
0,436
4,437
1,438
0,439
0,440
2,441
2.5,442
2.5,443
2.5,444
2.5,445
2.5,446
2.5,447
2.5,448
2.5,449
2.5,450
3,451
2.1666667,452
1.3333334,453
2.857143,454
1.3333334,455
2,456
3.6666667,457
2.8333333,458
2,459
3,460
2.5,461
2.5,462
1,463
1,464
2,465
1.8571429,466
1.8571429,467
1.8571429,468
1.8571429,469
1.8571429,470
1.8571429,471
1.8571429,472
1.8571429,473
1.8571429,474
1.8571429,475
1.7142857,476
1.4285715,477
1.625,478
1.4444444,479
2.2857144,480
