field1,entry_id
"2.6666667			",1
"1.9333333			",2
"2			",3
"1.9230769			",4
"1.6428572			",5
"2.7142856			",6
"1			",7
"2.5			",8
"2.5			",9
"2			",10
"1			",11
"1			",12
"0			",13
"0			",14
"0			",15
"1			",16
"2			",17
"2			",18
"1.8333334			",19
"2.375			",20
"1.8888888			",21
"2.45			",22
"2.3076923			",23
"1.9090909			",24
"1.6666666			",25
"1.5			",26
"1.6			",27
"1.5833334			",28
"2.2142856			",29
"2			",30
"1.1111112			",31
"1.3333334			",32
"0			",33
"3			",34
"3			",35
"3.5			",36
"3.5			",37
"4			",38
"1.5			",39
"1.35			",40
"1.2			",41
"2			",42
"2.25			",43
"3.3333333			",44
"2.090909			",45
"1.8333334			",46
"2.375			",47
"1.875			",48
"2.5384614			",49
"2.1666667			",50
"2.4615386			",51
"2.2857144			",52
"1.1578947			",53
"1.8333334			",54
"2.5			",55
"0.6			",56
"2			",57
"1.5			",58
"3			",59
"3			",60
"4			",61
"3			",62
"2			",63
"1.7			",64
"1.4			",65
"2			",66
"3			",67
"2.5			",68
"2.1			",69
"3.2058823			",70
"2.847826			",71
"2.939394			",72
"2.3076923			",73
"2.2222223			",74
"1.7058823			",75
"2.0833333			",76
"1.4			",77
"2			",78
"3			",79
"1			",80
"2.5			",81
"2.25			",82
"2			",83
"2.1666667			",84
"2.3333333			",85
"2.6666665			",86
"3			",87
"1.875			",88
"0.75			",89
"3			",90
"2			",91
"3.2727273			",92
"2.1764705			",93
"2.1034484			",94
"2.3428571			",95
"1.55			",96
"2			",97
"2.0666666			",98
"2.1875			",99
"2.3076923			",100
"1.725			",101
"2.5625			",102
"3			",103
"3			",104
"3			",105
"4			",106
"2			",107
"0			",108
"4			",109
"2			",110
"2			",111
"0			",112
"2.8333333			",113
"2.5			",114
"2.125			",115
"3.5			",116
"2.2666667			",117
"1.8421053			",118
"2.55			",119
"2.75			",120
"2.7			",121
"1.9375			",122
"2.1666667			",123
"2.75			",124
"1.9444444			",125
"2.75			",126
"1			",127
"0.6666667			",128
"0			",129
"3			",130
"2			",131
"1			",132
"4			",133
"4			",134
"4			",135
"1			",136
"2.25			",137
"2.3333333			",138
"2.5			",139
"1.8			",140
"1.3571428			",141
"2			",142
"2.125			",143
"2.4			",144
"2.1111112			",145
"1.7647059			",146
"2			",147
"2.0434783			",148
"1.68			",149
"1.5			",150
"2.6666667			",151
"1			",152
"3.3333333			",153
"1			",154
"0			",155
"0			",156
"0			",157
"0			",158
"0			",159
"0.875			",160
"1.75			",161
"1.125			",162
"1.9166666			",163
"2			",164
"2.2307692			",165
"1.9130435			",166
"2.7857144			",167
"2			",168
"2.5			",169
"2.3333333			",170
"1.4166666			",171
"2.1904762			",172
"2.1111112			",173
"2.8333333			",174
"2.8333333			",175
"1.4			",176
"3.5			",177
"3			",178
"1.3333334			",179
"2			",180
"3			",181
"3			",182
"1.5			",183
"0			",184
"1.75			",185
"1.5			",186
"2.7142856			",187
"3.25			",188
"2.0714285			",189
"1.8			",190
"2.3			",191
"1			",192
"2.1818182			",193
"1.9			",194
"1.5882353			",195
