field1,entry_id
2.6363637,1
2.5,2
2.48,3
1.8148148,4
2.0526316,5
2.04,6
2.8181818,7
2,8
2.5,9
1,10
0,11
1.25,12
1.25,13
1.25,14
1.25,15
1.25,16
2.5,17
2.6666667,18
2.1111112,19
3.0714285,20
3.2307692,21
2.4117646,22
2.8333333,23
2.1538463,24
2.3529413,25
2.2,26
1.4583334,27
1.6857142,28
2.2413793,29
1.75,30
2.25,31
1.875,32
1.3333334,33
1,34
1.25,35
4,36
4,37
4,38
4,39
4,40
2.625,41
1,42
3.6,43
2.375,44
2.090909,45
2.6666667,46
2.35,47
2.2631578,48
2.3,49
2.1818182,50
2.2307692,51
2.2631578,52
2.2857144,53
2.4285715,54
1.2142857,55
1.8333334,56
2.1666667,57
0.8,58
0.33333334,59
2.3333333,60
1.1666666,61
1.1666666,62
0,63
4,64
2.9,65
2.9,66
1.8,67
2.5,68
2.5,69
1.55,70
2.7083333,71
3.2,72
2.1875,73
2.8888888,74
2.4210527,75
1.5882353,76
1.9166666,77
1.5714285,78
1.2,79
2.8888888,80
0,81
0.6,82
1.3,83
1.3,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
2,92
1,93
1.8571428,94
1.375,95
3,96
3.125,97
2.8461537,98
4,99
2,100
1.3333334,101
1,102
1.5,103
1.5,104
4,105
1,106
1.5,107
1.5,108
1.5,109
1.5,110
2,111
3,112
2.3333333,113
2,114
2.7857144,115
2.75,116
1.7,117
2.9230769,118
2.909091,119
2.6190476,120
1.6,121
2.235294,122
2.0833333,123
2.235294,124
2.7058823,125
1.5833334,126
1.7272727,127
1.7142857,128
2.142857,129
3.0714285,130
3.0714285,131
3.0714285,132
3.0714285,133
3.0714285,134
3.0714285,135
4,136
0.75,137
2,138
1.9,139
2.3,140
1.7777778,141
2.387097,142
1.96875,143
2,144
2.2857144,145
2.7058823,146
2.125,147
2.4285715,148
2.04,149
2.5333333,150
2.1111112,151
1.5,152
2,153
4,154
2.9166667,155
2.9166667,156
2.9166667,157
2.9166667,158
2.9166667,159
2.9166667,160
1.8333334,161
1.6666666,162
2.4117646,163
1.8571428,164
2.7222223,165
2.35,166
2.2222223,167
2.764706,168
2.0434783,169
1.7894737,170
1.8333334,171
1.6666666,172
1.8333334,173
1.4285715,174
2.7272727,175
2.25,176
1.3333334,177
1.75,178
2.875,179
4,180
2.875,181
2.875,182
2.875,183
2.875,184
1.75,185
3.5,186
1.3076923,187
2.8421052,188
2.4705882,189
1.4347826,190
2.1052632,191
1.8181819,192
2.2727273,193
2.3333333,194
1.9090909,195
2.2727273,196
3.1333334,197
3.25,198
2.0769231,199
4,200
2.1666667,201
2,202
1.5,203
1.5,204
1.5,205
1.5,206
1.5,207
1,208
1.6,209
2.75,210
1.875,211
2.875,212
1.875,213
2.6111112,214
2.5263157,215
2.1666667,216
2.7333333,217
2.6666667,218
2.142857,219
1.625,220
2.1125,221
2.6,222
1,223
1.5,224
1.6666666,225
0.8333333,226
0,227
2,228
2,229
2,230
2,231
2,232
2,233
2,234
4,235
2.75,236
1.5,237
0,238
1.1666666,239
1.3333334,240
2.75,241
2.5,242
0.75,243
3.6666667,244
2,245
2.8,246
3.4,247
3.4,248
4,249
2.25,250
0.5,251
0.25,252
0.25,253
0.25,254
0.25,255
0.25,256
0.25,257
0.25,258
0.25,259
0,260
1,261
2,262
1.8,263
2,264
2.5,265
2.8,266
2.8,267
2.857143,268
3,269
1.6666666,270
1.0833333,271
0.5,272
3,273
0.6666667,274
0.9333334,275
0.9333334,276
0.9333334,277
0.9333334,278
0.9333334,279
0.9333334,280
1.2,281
1.5,282
1.625,283
2.25,284
2,285
2.5714285,286
3,287
2.857143,288
2.5789473,289
1.6666666,290
1.8,291
1.9285715,292
1.8571428,293
1.875,294
2.5714285,295
2.2857144,296
2.3333333,297
1,298
0,299
1,300
1,301
1,302
1,303
1,304
2,305
1.25,306
1.4285715,307
2.6,308
2.3333333,309
2,310
1.7333333,311
2.7692308,312
1.8,313
2.4117646,314
2.1875,315
1.8461539,316
1.4,317
2.090909,318
1.5,319
1.375,320
1.6,321
1.6888889,322
1.6888889,323
1.6888889,324
1.6888889,325
1.6888889,326
1.6888889,327
1.6888889,328
1.7777778,329
2,330
2.375,331
2.0714285,332
2.125,333
2.2916667,334
2.45,335
2.5714285,336
2.0454545,337
1.882353,338
1.9047619,339
2.4736843,340
1.8235294,341
2.2307692,342
2.3333333,343
3,344
2.4,345
1,346
1.5,347
1.5,348
1.5,349
1.5,350
1.5,351
2,352
2.3333333,353
2.5555556,354
1.4615384,355
1.95,356
2.25,357
2.1578948,358
2.7826087,359
2,360
1.7857143,361
2.4,362
1.8846154,363
2.2857144,364
1.962963,365
2.142857,366
1.6666666,367
1.125,368
1,369
0.5,370
0.5,371
0.5,372
0.5,373
0.5,374
0.5,375
0,376
1.5714285,377
2,378
3,379
1.4,380
2,381
2.7083333,382
2.2173913,383
2.8125,384
2.7777777,385
2.4545455,386
2.2142856,387
2.7,388
1.7692307,389
2,390
3.4,391
0.6666667,392
2.6666667,393
3.3333335,394
3.3333335,395
3.3333335,396
3.3333335,397
3.3333335,398
3.3333335,399
3.3333335,400
3.3333335,401
3.3333335,402
3.3333335,403
3.3333335,404
3.3333335,405
3.3333335,406
3.3333335,407
3.3333335,408
3.3333335,409
3.3333335,410
3.3333335,411
4,412
1,413
0.5,414
0.5,415
0.5,416
0,417
2,418
1,419
1,420
1,421
1,422
1,423
1,424
1,425
1,426
1,427
0,428
1.3333334,429
0,430
0,431
2.25,432
1.1764706,433
1,434
1,435
1,436
1,437
1,438
1,439
1,440
1,441
1,442
1,443
1,444
1,445
1,446
1,447
1,448
1,449
1,450
1,451
1,452
1,453
1,454
1,455
1,456
1,457
1,458
1,459
1,460
1,461
1,462
1,463
1,464
1.0136986,465
1,466
1,467
1,468
1,469
1,470
1,471
1,472
1,473
1,474
1.0090909,475
1,476
1,477
1,478
1,479
1.1707317,480
0,481
3,482
1,483
4,484
0,485
3,486
1,487
4,488
2,489
2.2777777,490
2.2777777,491
